2026-05-17 22:51:16 | ms=4.312 | karta=2 - administrace | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:16 | ms=2.004 | karta=2 - administrace | mode=max | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:16 | ms=0.438 | karta=2 - administrace | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
---------- celkem priprava: 6.316 ms ---------------- celkem zobrazeni: 0.438 ms -----------------
2026-05-17 22:51:41 | ms=0.036 | karta=3 - admin_inicializace | mode=nano | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:41 | ms=3.802 | karta=1 - admin_karty | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:41 | ms=2.418 | karta=2 - administrace | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:41 | ms=2.707 | karta=4 - go_test | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=1331.073 | karta=5 - prehled_db | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=71.440 | karta=15 - top_report | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=5.549 | karta=6 - admin_pobocky | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=94.831 | karta=19 - objednavky_online | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=16.171 | karta=12 - prehledy_grafy | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=9.433 | karta=11 - prehled_smen | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.484 | karta=7 - user_setting | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.260 | karta=13 - kontrola_trzeb | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=3.070 | karta=8 - uzivatele | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=145.516 | karta=9 - zakaznici | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=2.801 | karta=10 - zadani_reportu | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.306 | karta=18 - nakupni_kosik | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.264 | karta=16 - ziskovost | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=63.888 | karta=14 - prehled_objednavek | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.297 | karta=17 - mzdy | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.028 | karta=3 - admin_inicializace | mode=nano | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.175 | karta=1 - admin_karty | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.150 | karta=2 - administrace | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.136 | karta=4 - go_test | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.160 | karta=5 - prehled_db | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.313 | karta=15 - top_report | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.316 | karta=6 - admin_pobocky | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.259 | karta=19 - objednavky_online | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.219 | karta=12 - prehledy_grafy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.230 | karta=11 - prehled_smen | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.229 | karta=7 - user_setting | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.237 | karta=13 - kontrola_trzeb | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.258 | karta=8 - uzivatele | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.215 | karta=9 - zakaznici | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.361 | karta=10 - zadani_reportu | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.228 | karta=18 - nakupni_kosik | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.190 | karta=16 - ziskovost | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.200 | karta=14 - prehled_objednavek | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:51:43 | ms=0.193 | karta=17 - mzdy | mode=mini | usek=zobrazeni | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
---------- celkem priprava: 1754.346 ms ---------------- celkem zobrazeni: 4.097 ms -----------------
2026-05-17 22:52:10 | ms=0.026 | karta=3 - admin_inicializace | mode=nano | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:10 | ms=4.443 | karta=1 - admin_karty | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:10 | ms=2.423 | karta=2 - administrace | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
2026-05-17 22:52:10 | ms=1.740 | karta=4 - go_test | mode=mini | usek=priprava | obdobi_od=2026-05-01 06:00:00 | obdobi_do=2026-05-17 22:50:26 | pobocky custom=1,2,3,4,5,6
