Start aktualizace naplánovaných směn | 2026-06-27 22:00:03 | poboček=6 | týdny=-1,0
skipWeeks=-1 | id_pob=1 | startDay=2026-06-22 | pocet_bloku=24 | pocet_hodin=226 | stav=OK
skipWeeks=0 | id_pob=1 | startDay=2026-06-29 | pocet_bloku=26 | pocet_hodin=226 | stav=OK
skipWeeks=-1 | id_pob=2 | startDay=2026-06-22 | pocet_bloku=38 | pocet_hodin=277 | stav=OK
skipWeeks=0 | id_pob=2 | startDay=2026-06-29 | pocet_bloku=29 | pocet_hodin=252 | stav=OK
skipWeeks=-1 | id_pob=3 | startDay=2026-06-22 | pocet_bloku=34 | pocet_hodin=265 | stav=OK
skipWeeks=0 | id_pob=3 | startDay=2026-06-29 | pocet_bloku=29 | pocet_hodin=258 | stav=OK
skipWeeks=-1 | id_pob=5 | startDay=2026-06-22 | pocet_bloku=34 | pocet_hodin=252 | stav=OK
skipWeeks=0 | id_pob=5 | startDay=2026-06-29 | pocet_bloku=30 | pocet_hodin=232 | stav=OK
skipWeeks=-1 | id_pob=4 | startDay=2026-06-22 | pocet_bloku=20 | pocet_hodin=211 | stav=OK
skipWeeks=0 | id_pob=4 | startDay=2026-06-29 | pocet_bloku=23 | pocet_hodin=233 | stav=OK
skipWeeks=-1 | id_pob=6 | startDay=2026-06-22 | pocet_bloku=15 | pocet_hodin=209 | stav=OK
skipWeeks=0 | id_pob=6 | startDay=2026-06-29 | pocet_bloku=19 | pocet_hodin=209 | stav=OK
