"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"7 up 0,33l";"-";" 14:22";"N173";"39";"39";"1"
"Baby špenát & kuře 32 cm";"🍕 PIZZA 32CM";" 12:43";"116";"259";"259";"1"
"Baby špenát & kuře 40cm";"🍕 PIZZA 40CM";" 11:39";"104";"329";"329";"1"
"Balné";"-";" 18:38";"K0000";"18";"180";"10"
"BBQ Texas 40cm";"🍕 PIZZA 40CM";" 18:25";"107";"329";"329";"1"
"BBQ základ";"Změna základu na 32 cm";" 11:58";"ZSB32";"0";"0";"2"
"Capricciosa 32cm";"🍕 PIZZA 32CM";" 18:38";"113";"259";"259";"1"
"Capricciosa 40cm";"🍕 PIZZA 40CM";" 16:10";"101";"329";"329";"1"
"Česnekový dip";"🍯 PŘÍLOHY";" 16:10";"P106";"20";"20";"1"
"Comeback 32 cm";"🍕 PIZZA 32CM";" 18:35";"121";"259";"518";"2"
"Comeback 32cm 🌶️";"🍕 PIZZA 32CM";" 11:58";"121";"259";"259";"1"
"Comeback 40cm 🌶️";"🍕 PIZZA 40CM";" 17:50";"109";"329";"329";"1"
"Gorgonzola";"Vyberte extra přísady na pizzu 40cm";" 11:39";"C101";"40";"40";"1"
"Guarana classic";"🥤 NÁPOJE";" 17:44";"N142";"55";"55";"1"
"Hot & Spicy 32 cm";"🍕 PIZZA 32CM";" 18:35";"122";"259";"259";"1"
"Masové kuličky";"Vyberte extra přísady na pizzu 40cm";" 11:39";"C116";"89";"89";"1"
"Mirinda 0,33l";"-";" 14:23";"N172";"39";"39";"1"
"Mirinda 1l";"🥤 NÁPOJE";" 11:39";"N126";"59";"59";"1"
"okraj Hotdog, BBQ";"-";" 18:35";"f2ca88ba-7288-4f05-a925-149da2e2137e";"59";"118";"2"
"okraj hotdog, bez omáčky";"Vyberte si plněný okraj 32 cm pizza (ø pizzy - možné zmenšení až o 4 cm, gramáž těsta a ingrediencí zůstává zachována)";" 16:21";"A125";"59";"59";"1"
"okraj Hotdog, hořčice";"-";" 18:35";"d52027ab-fcf5-41e6-945a-01e2fd9187a4";"59";"59";"1"
"okraj mozzarella, bbq omáčka";"Vyberte si plněný okraj 40 cm pizza (ø pizzy - možné zmenšení až o 4 cm, gramáž těsta a ingrediencí zůstává zachována)";" 18:25";"A124";"69";"69";"1"
"okraj mozzarella, bylinky";"Vyberte si plněný okraj 40 cm pizza (ø pizzy - možné zmenšení až o 4 cm, gramáž těsta a ingrediencí zůstává zachována)";" 11:39";"A122";"69";"69";"1"
"Olivy";"Vyberte extra přísady na pizzu 40cm";" 11:39";"C112";"35";"35";"1"
"Pepperoni salám";"Vyberte extra přísady na pizzu 32cm";" 00:10";"B109";"30";"30";"1"
"Pepsi zero sugar 1l";"🥤 NÁPOJE";" 00:11";"N125";"59";"59";"1"
"Pizza Capricciosa 32";"🍕 PIZZA 32CM";" 13:01";"113";"259";"259";"1"
"Pizza Comeback 32";"🍕 PIZZA 32CM";" 13:01";"121";"259";"259";"1"
"Pizza Hawai 32 cm";"🍕 PIZZA 32CM";" 14:22";"114";"259";"518";"2"
"Pizza Hawai 40 cm";"🍕 PIZZA 40CM";" 18:36";"102";"329";"329";"1"
"Pizza Margherita 32";"🍕 PIZZA 32CM";" 14:22";"112";"219";"657";"3"
"Pizza Pepperoni 32";"🍕 PIZZA 32CM";" 16:21";"120";"259";"518";"2"
"Pizza Quattro Formaggi 32";"🍕 PIZZA 32CM";" 00:10";"123";"259";"259";"1"
"Pizza Špenát kuře 32 cm";"🍕 PIZZA 32CM";" 13:01";"116";"259";"259";"1"
"Poděbradská malinovka 0,5l";"🥤 NÁPOJE";" 18:11";"N129";"49";"49";"1"
"Quattro Formaggi 32 cm";"🍕 PIZZA 32CM";" 18:35";"123";"259";"259";"1"
"Quattro Formaggi 32cm";"🍕 PIZZA 32CM";" 11:58";"123";"259";"259";"1"
"Sweet passion 32 cm";"🍕 PIZZA 32CM";" 11:19";"29";"219";"219";"1"
"Veggieballs 40cm 🌶️🌶️";"🍕 PIZZA 40CM";" 18:11";"105";"329";"329";"1"
"Žampiony";"Vyberte extra přísady na pizzu 32cm";" 00:10";"B105";"25";"25";"1"
