"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"Aquilla černý čaj a broskev 0,5l";"🥤 NÁPOJE";" 13:57";"N120";"49";"98";"2"
"Baby špenát & kuře 18 cm";"🍕 PIZZA 18CM";" 18:50";"128";"119";"119";"1"
"Baby špenát & kuře 32 cm";"-";" 15:50";"140";"249";"1494";"6"
"Baby špenát & kuře 40 cm";"🍕 PIZZA 40CM  ";" 18:37";"104";"309";"927";"3"
"Balné";"-";" 18:42";"K0000";"17.573529411764707";"1195";"68"
"BBQ Meteor 18 cm";"🍕 PIZZA 18CM";" 18:50";"130";"119";"238";"2"
"BBQ Meteor 32 cm";"-";" 18:51";"142";"249";"996";"4"
"BBQ Meteor 32cm";"🍕 PIZZA 32CM";" 13:57";"118";"249";"498";"2"
"BBQ Meteor 40 cm";"🍕 PIZZA 40CM  ";" 18:29";"106";"309";"618";"2"
"BBQ Meteor 40cm";"🍕 PIZZA 40CM  ";" 13:36";"106";"309";"618";"2"
"BBQ Texas";"Vyberte si pizzu 32cm 🍕";" 16:14";"Y119";"0";"0";"1"
"BBQ Texas 18 cm";"🍕 PIZZA 18CM";" 18:37";"131";"119";"357";"3"
"BBQ Texas 32 cm";"🍕 PIZZA 32CM";" 11:34";"119";"249";"249";"1"
"BBQ Texas 32cm";"🍕 PIZZA 32CM";" 17:12";"119";"249";"996";"4"
"BBQ základ";"Změna základu na 40 cm";" 16:42";"ZRB40";"0";"0";"3"
"BEZ -ananas";"Hawai odebrání surovin";" 18:15";"X100";"0";"0";"4"
"BEZ -cibule";"Zeleninová odebrání surovin";" 17:17";"X103";"0";"0";"2"
"BEZ -masové kuličky";"BBQ Meteor odebrání surovin";" 12:18";"X116";"0";"0";"1"
"BEZ -olivy";"Capricciosa odebrání surovin";" 17:20";"X112";"0";"0";"1"
"BEZ -slanina";"BBQ Meteor odebrání surovin";" 18:02";"X108";"0";"0";"1"
"Bez cibule";"Zeleninová odebrání surovin";" 16:47";"X103";"0";"0";"1"
"Bez kuřete";"Špenát & kuře odebrání surovin";" 17:12";"X114";"0";"0";"1"
"Bez mozzarelly";"Margherita odebrání surovin";" 17:09";"X113";"0";"0";"1"
"Bez oliv";"Capricciosa odebrání surovin";" 17:16";"X112";"0";"0";"4"
"Bez papriky";"Zeleninová odebrání surovin";" 16:42";"X111";"0";"0";"2"
"Bez žampionů";"Capricciosa odebrání surovin";" 18:37";"X105";"0";"0";"4"
"Capricciosa 18 cm";"🍕 PIZZA 18CM";" 18:50";"125";"119";"119";"1"
"Capricciosa 32 cm";"🍕 PIZZA 32CM";" 17:36";"113";"249";"996";"4"
"Capricciosa 32cm";"🍕 PIZZA 32CM";" 18:37";"113";"249";"996";"4"
"Capricciosa 40 cm";"🍕 PIZZA 40CM  ";" 17:41";"101";"309";"927";"3"
"Capricciosa 40cm";"🍕 PIZZA 40CM  ";" 18:42";"101";"309";"2163";"7"
"česnekový chléb";"Vyberte si přílohu";" 17:13";"P104";"0";"0";"1"
"Česnekový dip";"🍯 PŘÍLOHY";" 16:56";"P106";"20";"100";"5"
"Choco Rolls";"🍯 PŘÍLOHY";" 13:57";"chr100";"89";"89";"1"
"Cibule";"Vyberte extra přísady na pizzu 40cm";" 18:42";"C103";"35";"70";"2"
"Comeback 18 cm";"🍕 PIZZA 18CM";" 18:02";"133";"119";"119";"1"
"Comeback 32 cm";"-";" 18:51";"145";"249";"1494";"6"
"Comeback 32cm 🌶️";"🍕 PIZZA 32CM";" 17:09";"121";"249";"1245";"5"
"Comeback 40 cm";"🍕 PIZZA 40CM  ";" 18:30";"109";"309";"1545";"5"
"Comeback 40cm 🌶️";"🍕 PIZZA 40CM  ";" 18:42";"109";"309";"927";"3"
"Dip česnekový";"🍯 PŘÍLOHY";" 18:15";"P106";"20";"280";"14"
"DIP jalapenos";"🍯 PŘÍLOHY";" 16:55";"P107";"20";"20";"1"
"Guarana classic";"Vyberte si nápoj 🥤";" 17:13";"N142";"0";"0";"1"
"Guarana kiwi a jablko";"🥤 NÁPOJE";" 17:07";"N144";"55";"55";"1"
"Hawai";"Vyberte si pizzu 32cm 🍕";" 17:13";"Y114";"0";"0";"1"
"Hawai 32 cm";"🍕 PIZZA 32CM";" 14:33";"114";"249";"1494";"6"
"Hawai 32cm";"🍕 PIZZA 32CM";" 16:42";"114";"249";"498";"2"
"Hawai 40 cm";"🍕 PIZZA 40CM  ";" 18:15";"102";"309";"927";"3"
