"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"Aquilla neperlivá";"Vyberte si nápoj 🥤";" 14:51";"N140";"19.5";"39";"2"
"Baby Špenát & kuře 32cm";"🍕 PIZZA 32CM";" 17:19";"116";"249";"747";"3"
"Baby špenát & kuře 40cm";"🍕 PIZZA 40CM  ";" 18:42";"104";"309";"927";"3"
"Balné";"-";" 18:35";"K0000";"16.5625";"795";"48"
"BBQ dip";"🍯 PŘÍLOHY";" 17:19";"P105";"20";"40";"2"
"BBQ Meteor 32 cm";"-";" 18:50";"142";"249";"498";"2"
"BBQ Meteor 32cm";"🍕 PIZZA 32CM";" 14:17";"118";"249";"249";"1"
"BBQ Texas 32cm";"🍕 PIZZA 32CM";" 14:17";"119";"249";"498";"2"
"BBQ Texas 40cm";"🍕 PIZZA 40CM  ";" 14:57";"107";"309";"1236";"4"
"BBQ základ";"Změna základu na 32 cm";" 01:08";"ZSB32";"0";"0";"2"
"Bez cibule";"Zeleninová odebrání surovin";" 12:53";"X103";"0";"0";"2"
"Bez mozzarelly";"Margherita odebrání surovin";" 11:54";"X113";"0";"0";"1"
"Bez oliv";"Capricciosa odebrání surovin";" 18:14";"X112";"0";"0";"1"
"Bez slaniny";"BBQ Meteor odebrání surovin";" 14:57";"X108";"0";"0";"1"
"Bez žampionů";"Capricciosa odebrání surovin";" 18:35";"X105";"0";"0";"1"
"BIRGO grapefruit 0,5l";"🥤 NÁPOJE";" 17:49";"N131";"49";"49";"1"
"Capricciosa 32cm";"🍕 PIZZA 32CM";" 18:35";"113";"249";"498";"2"
"Capricciosa 40cm";"🍕 PIZZA 40CM  ";" 18:14";"101";"309";"927";"3"
"Česnekový dip";"🍯 PŘÍLOHY";" 15:56";"P106";"20";"40";"2"
"Cibule";"Vyberte extra přísady na pizzu 40cm";" 16:07";"C103";"30";"120";"4"
"Comeback 32 cm";"-";" 10:51";"145";"249";"249";"1"
"Comeback 32cm 🌶️";"🍕 PIZZA 32CM";" 18:35";"121";"249";"1494";"6"
"Comeback 40cm 🌶️";"🍕 PIZZA 40CM  ";" 17:49";"109";"309";"2163";"7"
"Gorgonzola";"Vyberte extra přísady na pizzu 40cm";" 18:37";"C101";"40";"120";"3"
"Hawai 18cm";"🍕 PIZZA 18CM";" 11:11";"126";"119";"119";"1"
"Hawai 32cm";"🍕 PIZZA 32CM";" 12:27";"114";"249";"249";"1"
"Hawai 40cm";"🍕 PIZZA 40CM  ";" 18:37";"102";"309";"1236";"4"
"Hot & Spicy";"Vyberte si pizzu 32cm 🍕";" 14:51";"Y122";"0";"0";"1"
"Hot & Spicy 32cm 🌶️🌶️";"🍕 PIZZA 32CM";" 15:11";"122";"249";"498";"2"
"Italské těsto";"-";" 14:51";"15";"0";"0";"1"
"Jalapeňos";"Vyberte extra přísady na pizzu 32cm";" 16:07";"B102";"25";"25";"1"
"Kukuřice";"Vyberte extra přísady na pizzu 40cm";" 16:47";"C115";"28.333333333333336";"85";"3"
"Kuře";"Vyberte extra přísady na pizzu 40cm";" 18:37";"C114";"36.666666666666664";"110";"3"
"Margherita 32cm";"🍕 PIZZA 32CM";" 17:14";"112";"209";"418";"2"
"Margherita 40cm";"🍕 PIZZA 40CM  ";" 18:14";"100";"269";"1076";"4"
"masové kuličky";"🍯 PŘÍLOHY";" 18:14";"P102";"99";"99";"1"
"Mirinda 1l";"🥤 NÁPOJE";" 12:54";"N126";"59";"118";"2"
"Mozzarella";"Vyberte extra přísady na pizzu 40cm";" 17:45";"C113";"35";"140";"4"
"okraj hotdog, bbq omáčka";"Vyberte si plněný okraj 40 cm pizza (ø pizzy - možné zmenšení až o 4 cm, gramáž těsta a ingrediencí zůstává zachována)";" 14:17";"A120";"59.66666666666667";"179";"3"
