"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"ananas";"Vyberte extra přísady na pizzu 32cm";" 16:04";"B100";"25";"25";"1"
"Ananas";"Vyberte extra přísady na pizzu 32cm";" 14:19";"B100";"30";"60";"2"
"Aquilla jemně perlivá";"🥤 NÁPOJE";" 12:53";"N141";"19.5";"39";"2"
"Aquilla zelený čaj/citron 0,5l";"🥤 NÁPOJE";" 16:07";"N121";"49";"49";"1"
"Baby špenát & kuře 32 cm";"🍕 PIZZA 32CM";" 12:01";"116";"249";"498";"2"
"Baby Špenát & kuře 32cm";"🍕 PIZZA 32CM";" 18:09";"116";"249";"498";"2"
"Baby špenát & kuře 40 cm";"🍕 PIZZA 40CM  ";" 17:41";"104";"309";"927";"3"
"Baby špenát & kuře 40cm";"🍕 PIZZA 40CM  ";" 11:06";"104";"309";"618";"2"
"Balné";"-";" 18:52";"K0000";"16.9811320754717";"1800";"106"
"BBQ Meteor 32 cm";"-";" 17:05";"142";"249";"498";"2"
"BBQ Meteor 32cm";"🍕 PIZZA 32CM";" 18:40";"118";"249";"996";"4"
"BBQ Meteor 40 cm";"🍕 PIZZA 40CM  ";" 00:47";"106";"309";"309";"1"
"BBQ Meteor 40cm";"🍕 PIZZA 40CM  ";" 16:20";"106";"309";"1236";"4"
"BBQ Texas 32 cm";"🍕 PIZZA 32CM";" 12:01";"119";"249";"249";"1"
"BBQ Texas 32cm";"🍕 PIZZA 32CM";" 17:21";"119";"249";"747";"3"
"BBQ Texas 40 cm";"🍕 PIZZA 40CM  ";" 17:49";"107";"309";"618";"2"
"BBQ Texas 40cm";"🍕 PIZZA 40CM  ";" 15:18";"107";"309";"1854";"6"
"BBQ základ";"Změna základu na 40 cm";" 12:17";"ZSB49";"0";"0";"5"
"BEZ -ananas";"Hawai odebrání surovin";" 14:05";"X100";"0";"0";"1"
"BEZ -cibule";"Zeleninová odebrání surovin";" 12:22";"X103";"0";"0";"1"
"BEZ -olivy";"Capricciosa odebrání surovin";" 15:13";"X112";"0";"0";"2"
"BEZ -paprika";"Zeleninová odebrání surovin";" 17:35";"X111";"0";"0";"1"
"BEZ -pepperoni salám";"BBQ Meteor odebrání surovin";" 14:59";"X109";"0";"0";"1"
"BEZ -žampiony";"Capricciosa odebrání surovin";" 14:03";"X105";"0";"0";"1"
"Bez cibule";"Zeleninová odebrání surovin";" 15:18";"X103";"0";"0";"4"
"Bez kuřete";"Špenát & kuře odebrání surovin";" 01:32";"X114";"0";"0";"1"
"Bez mozzarelly";"Margherita odebrání surovin";" 01:32";"X113";"0";"0";"1"
"Bez oliv";"Capricciosa odebrání surovin";" 13:56";"X112";"0";"0";"1"
