"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"Ananas";"Vyberte extra přísady na pizzu 40cm";" 15:53";"C100";"35";"35";"1"
"Balné";"-";" 18:53";"K0000";"17.5";"735";"42"
"BBQ Meteor 32cm";"🍕 PIZZA 32CM";" 00:28";"118";"249";"249";"1"
"BBQ Meteor 40cm";"🍕 PIZZA 40CM  ";" 15:05";"106";"309";"309";"1"
"BBQ Texas 32 cm";"-";" 11:14";"143";"249";"249";"1"
"BBQ Texas 40cm";"🍕 PIZZA 40CM  ";" 16:05";"107";"309";"309";"1"
"BBQ základ";"Změna základu na 32 cm";" 00:24";"ZRB32";"0";"0";"1"
"BEZ -ananas";"Hawai odebrání surovin";" 17:58";"X100";"0";"0";"1"
"BEZ -olivy";"Capricciosa odebrání surovin";" 18:40";"X112";"0";"0";"1"
"Bez oliv";"Capricciosa odebrání surovin";" 18:45";"X112";"0";"0";"1"
"Bez papriky";"Zeleninová odebrání surovin";" 16:05";"X111";"0";"0";"1"
"bez plněných okrajů";"Vyberte si plněný okraj 32 cm pizza (ø pizzy - možné zmenšení až o 4 cm, gramáž těsta a ingrediencí zůstává zachována)";" 18:00";"X1000";"0";"0";"3"
"Capricciosa 32 cm";"-";" 18:40";"137";"249";"249";"1"
"Capricciosa 32cm";"🍕 PIZZA 32CM";" 18:45";"113";"249";"498";"2"
"Capricciosa 40cm";"🍕 PIZZA 40CM  ";" 14:47";"101";"309";"309";"1"
"Česnekový chléb";"🍯 PŘÍLOHY";" 17:32";"P104";"79";"79";"1"
"Česnekový dip";"🍯 PŘÍLOHY";" 18:46";"P106";"20";"60";"3"
"Comeback 32 cm";"🍕 PIZZA 32CM";" 17:49";"121";"249";"747";"3"
"Comeback 32cm 🌶️";"🍕 PIZZA 32CM";" 00:39";"121";"249";"498";"2"
"Comeback 40cm 🌶️";"🍕 PIZZA 40CM  ";" 18:53";"109";"309";"2472";"8"
"grana padano";"Vyberte extra přísady na pizzu 32cm";" 17:32";"B130";"30";"30";"1"
