"Name";"Category";"LastSold";"PosId";"AvgPrice";"TotalPrice";"Count"
"Aquilla černý čaj a broskev 0,5l";"🥤 NÁPOJE";" 15:36";"N120";"49";"49";"1"
"Baby špenát & kuře 32 cm";"🍕 PIZZA 32CM";" 18:50";"116";"249";"498";"2"
"Baby Špenát & kuře 32cm";"🍕 PIZZA 32CM";" 00:08";"116";"249";"249";"1"
"Baby špenát & kuře 40cm";"🍕 PIZZA 40CM  ";" 12:50";"104";"309";"309";"1"
"Balné";"-";" 18:54";"K0000";"16.443298969072167";"1595";"97"
"BBQ Meteor 32 cm";"-";" 16:44";"142";"249";"249";"1"
"BBQ Meteor 32cm";"🍕 PIZZA 32CM";" 18:47";"118";"249";"249";"1"
"BBQ Meteor 40 cm";"🍕 PIZZA 40CM  ";" 18:35";"106";"309";"309";"1"
"BBQ Meteor 40cm";"🍕 PIZZA 40CM  ";" 13:05";"106";"309";"309";"1"
"BBQ Texas 32 cm";"-";" 16:48";"143";"249";"498";"2"
"BBQ Texas 32cm";"🍕 PIZZA 32CM";" 16:47";"119";"249";"498";"2"
"BBQ Texas 40cm";"🍕 PIZZA 40CM  ";" 16:01";"107";"309";"927";"3"
"BBQ základ";"Změna základu na 40 cm";" 12:37";"ZRB40";"0";"0";"3"
"BEZ -ananas";"Hawai odebrání surovin";" 17:36";"X100";"0";"0";"2"
"BEZ -cibule";"Zeleninová odebrání surovin";" 18:42";"X103";"0";"0";"2"
"BEZ -olivy";"Capricciosa odebrání surovin";" 16:44";"X112";"0";"0";"1"
"BEZ -pepperoni salám";"BBQ Meteor odebrání surovin";" 12:05";"X109";"0";"0";"1"
"BEZ -žampiony";"Capricciosa odebrání surovin";" 10:14";"X105";"0";"0";"1"
"Bez ananasu";"Hawai odebrání surovin";" 12:28";"X100";"0";"0";"1"
"Bez cibule";"Zeleninová odebrání surovin";" 11:41";"X103";"0";"0";"1"
"Bez gorgonzoly";"Quattro Formaggi odebrání surovin";" 18:54";"X101";"0";"0";"1"
"Bez oliv";"Capricciosa odebrání surovin";" 17:56";"X112";"0";"0";"1"
"Bez papriky";"Zeleninová odebrání surovin";" 11:41";"X111";"0";"0";"1"
"bez plněných okrajů";"Vyberte si plněný okraj 32 cm pizza (ø pizzy - možné zmenšení až o 4 cm, gramáž těsta a ingrediencí zůstává zachována)";" 18:54";"X1000";"0";"0";"13"
"Bez žampionů";"Capricciosa odebrání surovin";" 00:35";"X105";"0";"0";"1"
"Capricciosa 18 cm";"🍕 PIZZA 18CM";" 10:14";"125";"119";"119";"1"
"Capricciosa 32 cm";"-";" 18:11";"137";"249";"747";"3"
"Capricciosa 32cm";"🍕 PIZZA 32CM";" 17:56";"113";"249";"498";"2"
"Capricciosa 40 cm";"🍕 PIZZA 40CM  ";" 18:25";"101";"309";"1236";"4"
"Capricciosa 40cm";"🍕 PIZZA 40CM  ";" 17:43";"101";"309";"618";"2"
"Česnekový chléb 18cm";"🍯 PŘÍLOHY";" 18:00";"P104";"79";"158";"2"
"Česnekový dip";"🍯 PŘÍLOHY";" 16:35";"P106";"20";"180";"9"
"Choco Rolls";"🍯 PŘÍLOHY";" 13:57";"chr100";"89";"89";"1"
"Cibule";"Vyberte extra přísady na pizzu 32cm";" 18:19";"B103";"25";"50";"2"
"Comeback";"Vyberte si pizzu 32cm 🍕";" 13:29";"Y121";"0";"0";"1"
"Comeback 32 cm";"🍕 PIZZA 32CM";" 18:50";"121";"249";"2241";"9"
