TEST pobocek po tydnech
cas startu: 2026-03-30 17:51:50
rozsah skipWeeks: -284 az 0
pobocky: 1, 2, 3, 4, 5, 6
cyklus: 5
----------------------------------------
skipWeeks=-284 | id_pob=1 | datum_od=2020-10-26T00:00:00.000Z | ma_data=ANO | pocet_hodin=347
skipWeeks=-284 | id_pob=2 | datum_od=2020-10-26T00:00:00.000Z | ma_data=ANO | pocet_hodin=609
skipWeeks=-284 | id_pob=3 | datum_od=2020-10-26T00:00:00.000Z | ma_data=ANO | pocet_hodin=358
skipWeeks=-284 | id_pob=4 | datum_od=2020-10-26T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-284 | id_pob=5 | datum_od=2020-10-26T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-284 | id_pob=6 | datum_od=2020-10-26T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-283 | id_pob=1 | datum_od=2020-11-02T00:00:00.000Z | ma_data=ANO | pocet_hodin=365
skipWeeks=-283 | id_pob=2 | datum_od=2020-11-02T00:00:00.000Z | ma_data=ANO | pocet_hodin=613
skipWeeks=-283 | id_pob=3 | datum_od=2020-11-02T00:00:00.000Z | ma_data=ANO | pocet_hodin=357
skipWeeks=-283 | id_pob=4 | datum_od=2020-11-02T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-283 | id_pob=5 | datum_od=2020-11-02T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-283 | id_pob=6 | datum_od=2020-11-02T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-282 | id_pob=1 | datum_od=2020-11-09T00:00:00.000Z | ma_data=ANO | pocet_hodin=355
skipWeeks=-282 | id_pob=2 | datum_od=2020-11-09T00:00:00.000Z | ma_data=ANO | pocet_hodin=564
skipWeeks=-282 | id_pob=3 | datum_od=2020-11-09T00:00:00.000Z | ma_data=ANO | pocet_hodin=364
skipWeeks=-282 | id_pob=4 | datum_od=2020-11-09T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-282 | id_pob=5 | datum_od=2020-11-09T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-282 | id_pob=6 | datum_od=2020-11-09T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-281 | id_pob=1 | datum_od=2020-11-16T00:00:00.000Z | ma_data=ANO | pocet_hodin=376
skipWeeks=-281 | id_pob=2 | datum_od=2020-11-16T00:00:00.000Z | ma_data=ANO | pocet_hodin=635
skipWeeks=-281 | id_pob=3 | datum_od=2020-11-16T00:00:00.000Z | ma_data=ANO | pocet_hodin=368
skipWeeks=-281 | id_pob=4 | datum_od=2020-11-16T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-281 | id_pob=5 | datum_od=2020-11-16T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-281 | id_pob=6 | datum_od=2020-11-16T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-280 | id_pob=1 | datum_od=2020-11-23T00:00:00.000Z | ma_data=ANO | pocet_hodin=366
skipWeeks=-280 | id_pob=2 | datum_od=2020-11-23T00:00:00.000Z | ma_data=ANO | pocet_hodin=543
skipWeeks=-280 | id_pob=3 | datum_od=2020-11-23T00:00:00.000Z | ma_data=ANO | pocet_hodin=356
skipWeeks=-280 | id_pob=4 | datum_od=2020-11-23T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-280 | id_pob=5 | datum_od=2020-11-23T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-280 | id_pob=6 | datum_od=2020-11-23T00:00:00.000Z | ma_data=NE | pocet_hodin=0
skipWeeks=-279 | id_pob=1 | datum_od=2020-11-30T00:00:00.000Z | ma_data=ANO | pocet_hodin=362
