ORDER_ERR: datum=2025-08-19 | id_pob=6 | page=1 | restia_id_obj=896ded41-6bd6-4efb-a4c9-b6526bbafba7 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-21 | id_pob=6 | page=1 | restia_id_obj=7b8c318d-d168-4826-8b43-46c5b709f4d0 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-21 | id_pob=6 | page=1 | restia_id_obj=5fe5aac5-dd52-4b1f-bc1c-8fb06d043339 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-23 | id_pob=6 | page=1 | restia_id_obj=b420a39a-d99d-445a-ac62-8bdbd9839140 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-25 | id_pob=6 | page=1 | restia_id_obj=207fb7c0-e4de-4796-8670-ed7d440f37c5 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-25 | id_pob=6 | page=1 | restia_id_obj=27816399-b69f-4a62-86bb-dfdc42542296 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-26 | id_pob=6 | page=1 | restia_id_obj=0b0af853-536f-464a-8049-f554cfbf70a0 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-27 | id_pob=6 | page=1 | restia_id_obj=c61bec25-a957-4dd8-86d3-b5c75cb6e8d9 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-28 | id_pob=6 | page=1 | restia_id_obj=f8d1b94a-d718-4e71-8b30-f8454d2823b6 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-28 | id_pob=6 | page=1 | restia_id_obj=5459dd47-467c-4224-bf91-c2710fd37410 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-28 | id_pob=6 | page=1 | restia_id_obj=74ba248a-a250-41e1-8378-dbbacfc77638 | msg=Objednávka nemá telefon zákazníka.
ORDER_ERR: datum=2025-08-29 | id_pob=6 | page=1 | restia_id_obj=808dc333-f7cf-4507-b0dc-9598bdfa5716 | msg=Objednávka nemá telefon zákazníka.
